set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm}
0.000,10,0.001,0.008,753,0.001,0.001,0.024,  5.48, 5.11,0.000,-19,  -9, 14
,,0.043,0.084,277,0.025,0.020,0.144,  4.70, 4.45,0.000, -1, -88, 28
,,,,,,0.070,0.252,  4.31, 4.12,0.000,-33, -75, 51
,,,,,,0.116,0.326,  4.15, 3.97,0.000,-24, -85, 42
,,0.033,0.084,307,0.019,0.021,0.144,  4.68, 4.43,0.000, 16, -75, 59
,,,,,,0.049,0.206,  4.43, 4.22,0.000,  7, -92, 28
,,,,,,0.118,0.326,  4.14, 3.96,0.000, 30, -54, 68
,,0.124,0.153,162,0.076,0.146,0.362,  4.07, 3.90,0.000, 16,-105, -1
,,,,,,0.222,0.434,  3.91, 3.76,0.000, 19,-102, -9
,,,,,,0.222,0.434,  3.91, 3.76,0.000,  7, -85,-15
,,0.094,0.142,191,0.057,0.349,0.510,  3.72, 3.59,0.000, 19,  -3,  8
,,,,,,0.357,0.510,  3.71, 3.58,0.000, 13, -13, 11
,,,,,,0.397,0.524,  3.66, 3.54,0.000, 21, -16, 22
,,0.556,0.668,26,0.468,0.461,0.609,  3.59, 3.47,0.000, 10, -68,-55
,,,,,,0.616,0.708,  3.42, 3.32,0.000,  7, -75,-49
,,0.668,0.794,12,0.635,0.584,0.708,  3.46, 3.35,0.000, -7, -68,-46
,,0.542,0.668,28,0.450,0.605,0.708,  3.43, 3.33,0.000,-19,-102,-15
,,,,,,0.730,0.815,  3.29, 3.20,0.001,-19, -85,-23
,,0.766,0.917,3,0.835,0.668,0.737,  3.36, 3.27,0.001,-33, -61, 62
,,0.797,0.917,1,0.917,0.813,0.964,  3.19, 3.11,0.001, 19, -51, 74
