set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm}
0.003,7,0.001,0.001,787,0.000,0.001,0.006,  6.19, 5.12,0.000, 27,-81, 17
,,,,,,0.033,0.072,  5.02, 4.37,0.000, 30,-75, 34
,,,,,,0.340,0.341,  4.01, 3.64,0.000, 50,-51, 34
,,0.000,0.000,1166,0.000,0.002,0.006,  6.15, 5.09,0.000, 33,  4, -9
,,,,,,0.104,0.168,  4.56, 4.05,0.000, 41,-13, 37
,,,,,,0.133,0.189,  4.46, 3.97,0.000, 47, 18, 22
,,0.111,0.146,165,0.063,0.023,0.061,  5.17, 4.47,0.000,-19,-85, 14
,,0.467,0.469,41,0.335,0.289,0.330,  4.10, 3.70,0.000,  4,-23, -1
,,0.341,0.389,66,0.222,0.317,0.338,  4.05, 3.67,0.000, 36,-71,-23
,,,,,,0.672,0.699,  3.57, 3.29,0.000, 33,-68,-49
,,0.738,0.714,7,0.714,0.671,0.699,  3.57, 3.30,0.000,-30,  4, -6
,,0.686,0.714,12,0.617,0.754,0.783,  3.46, 3.21,0.001,-36, 35, -3
