set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm}
0.001,8,0.279,0.857,81,0.162,0.372,0.839,  3.99, 3.63,0.000,  4, -9, 62
,,,,,,0.479,0.839,  3.85, 3.51,0.000,  4, 15, 57
,,0.601,0.857,23,0.455,0.525,0.839,  3.79, 3.47,0.000, -4,-44, 62
,,0.757,0.857,7,0.701,0.599,0.839,  3.70, 3.39,0.000, -1, 15, 57
,,0.781,0.857,5,0.752,0.602,0.839,  3.69, 3.39,0.000, -1, -6, 62
,,0.723,0.857,10,0.637,0.671,0.839,  3.61, 3.32,0.000,  4,-47, 59
,,0.807,0.857,3,0.817,0.763,0.839,  3.48, 3.22,0.001, -1, 21, 54
,,0.781,0.857,5,0.752,0.793,0.839,  3.44, 3.19,0.001,  4,-40, 62
,,0.822,0.857,2,0.857,0.816,0.839,  3.41, 3.16,0.001,-53, -9, -6
