,low,high
0,sub-298,sub-217
1,sub-313,sub-647
2,sub-417,sub-796
3,sub-654,sub-927
4,sub-310,sub-107
5,sub-346,sub-735
6,sub-742,sub-064
7,sub-1077,sub-778
8,sub-728,sub-070
9,sub-333,sub-968
10,sub-618,sub-286
11,sub-894,sub-811
12,sub-715,sub-1020
13,sub-827,sub-050
14,sub-241,sub-957
15,sub-747,sub-788
16,sub-1073,sub-418
17,sub-711,sub-712
18,sub-544,sub-452
19,sub-704,sub-248
20,sub-444,sub-813
21,sub-028,sub-1022
22,sub-523,sub-445
23,sub-327,sub-630
24,sub-242,sub-990
25,sub-1062,sub-948
26,sub-001,sub-378
27,sub-552,sub-942
28,sub-239,sub-850
29,sub-317,sub-770
30,sub-662,sub-221
31,sub-800,sub-590
32,sub-689,sub-826
33,sub-296,sub-361
34,sub-824,sub-666
35,sub-451,sub-867
36,sub-260,sub-1021
37,sub-238,sub-786
38,sub-547,sub-059
39,sub-669,sub-865
40,sub-828,sub-1013
41,sub-573,sub-396
42,sub-282,sub-027
43,sub-694,sub-756
44,sub-536,sub-670
45,sub-045,sub-037
46,sub-989,sub-695
47,sub-077,sub-940
48,sub-965,sub-873
49,sub-414,sub-737
