,low,high
0,sub-062,sub-744
1,sub-243,sub-782
2,sub-073,sub-469
3,sub-300,sub-774
4,sub-543,sub-1093
5,sub-807,sub-777
6,sub-1049,sub-382
7,sub-457,sub-560
8,sub-925,sub-1090
9,sub-076,sub-471
10,sub-820,sub-513
11,sub-083,sub-1067
12,sub-763,sub-339
13,sub-228,sub-626
14,sub-806,sub-792
15,sub-919,sub-484
16,sub-157,sub-1072
17,sub-830,sub-443
18,sub-648,sub-448
19,sub-505,sub-394
20,sub-1025,sub-053
21,sub-1081,sub-1016
22,sub-258,sub-622
23,sub-435,sub-551
24,sub-049,sub-1063
25,sub-545,sub-425
26,sub-003,sub-819
27,sub-716,sub-1070
28,sub-684,sub-1034
29,sub-923,sub-1044
30,sub-438,sub-771
31,sub-632,sub-729
32,sub-1030,sub-1059
33,sub-493,sub-736
34,sub-655,sub-1058
35,sub-009,sub-751
36,sub-306,sub-840
37,sub-014,sub-958
38,sub-008,sub-834
39,sub-475,sub-398
40,sub-646,sub-767
41,sub-755,sub-031
42,sub-846,sub-059
43,sub-613,sub-608
44,sub-303,sub-932
45,sub-483,sub-721
46,sub-1055,sub-983
47,sub-277,sub-780
48,sub-536,sub-921
49,sub-766,sub-256
