,low,high
0,sub-157,sub-729
1,sub-543,sub-1034
2,sub-763,sub-737
3,sub-820,sub-059
4,sub-300,sub-174
5,sub-076,sub-865
6,sub-435,sub-792
7,sub-062,sub-394
8,sub-493,sub-339
9,sub-228,sub-484
10,sub-457,sub-1016
11,sub-766,sub-626
12,sub-632,sub-513
13,sub-806,sub-751
14,sub-545,sub-382
15,sub-919,sub-921
16,sub-886,sub-1090
17,sub-923,sub-622
18,sub-925,sub-425
19,sub-613,sub-1093
20,sub-243,sub-1067
21,sub-524,sub-031
22,sub-1055,sub-744
23,sub-073,sub-890
24,sub-216,sub-708
25,sub-460,sub-782
26,sub-008,sub-469
27,sub-309,sub-909
28,sub-1049,sub-403
29,sub-830,sub-884
30,sub-279,sub-003
31,sub-1095,sub-267
32,sub-713,sub-438
33,sub-807,sub-774
34,sub-306,sub-910
35,sub-009,sub-230
36,sub-655,sub-777
37,sub-931,sub-560
38,sub-610,sub-819
39,sub-321,sub-895
40,sub-505,sub-1072
41,sub-831,sub-443
42,sub-054,sub-797
43,sub-458,sub-258
44,sub-083,sub-448
45,sub-587,sub-880
46,sub-249,sub-471
47,sub-821,sub-907
48,sub-1026,sub-736
49,sub-799,sub-053
