,low,high
0,sub-1090,sub-171
1,sub-958,sub-948
2,sub-771,sub-865
3,sub-608,sub-378
4,sub-780,sub-770
5,sub-721,sub-737
6,sub-834,sub-286
7,sub-753,sub-174
8,sub-1063,sub-221
9,sub-762,sub-291
10,sub-1070,sub-331
11,sub-513,sub-452
12,sub-551,sub-590
13,sub-733,sub-786
14,sub-626,sub-942
15,sub-489,sub-898
16,sub-749,sub-059
17,sub-1067,sub-418
18,sub-744,sub-729
19,sub-339,sub-890
20,sub-382,sub-100
21,sub-1093,sub-246
22,sub-1072,sub-217
23,sub-774,sub-927
24,sub-469,sub-695
25,sub-443,sub-788
26,sub-767,sub-285
27,sub-1059,sub-871
28,sub-471,sub-1020
29,sub-1058,sub-778
30,sub-622,sub-670
31,sub-782,sub-796
32,sub-792,sub-380
33,sub-1044,sub-857
34,sub-484,sub-676
35,sub-394,sub-396
36,sub-053,sub-248
37,sub-983,sub-862
38,sub-777,sub-027
39,sub-1016,sub-873
40,sub-708,sub-735
41,sub-819,sub-813
42,sub-840,sub-811
43,sub-250,sub-957
44,sub-448,sub-1021
45,sub-321,sub-867
46,sub-821,sub-064
47,sub-425,sub-712
48,sub-003,sub-968
49,sub-560,sub-050
