,low,high
0,sub-001,sub-445
1,sub-1048,sub-940
2,sub-282,sub-1022
3,sub-547,sub-647
4,sub-824,sub-064
5,sub-296,sub-107
6,sub-317,sub-666
7,sub-1073,sub-037
8,sub-704,sub-968
9,sub-552,sub-939
10,sub-238,sub-070
11,sub-077,sub-050
12,sub-548,sub-056
13,sub-268,sub-990
14,sub-618,sub-811
15,sub-497,sub-217
16,sub-711,sub-927
17,sub-681,sub-867
18,sub-241,sub-957
19,sub-045,sub-826
20,sub-549,sub-735
21,sub-662,sub-796
22,sub-831,sub-973
23,sub-616,sub-320
24,sub-742,sub-1013
25,sub-654,sub-011
26,sub-310,sub-778
27,sub-327,sub-040
28,sub-841,sub-032
29,sub-728,sub-788
30,sub-697,sub-942
31,sub-1083,sub-452
32,sub-313,sub-642
33,sub-028,sub-361
34,sub-377,sub-644
35,sub-1077,sub-038
36,sub-694,sub-813
37,sub-821,sub-344
38,sub-715,sub-286
39,sub-298,sub-630
40,sub-346,sub-027
41,sub-274,sub-1020
42,sub-321,sub-949
43,sub-683,sub-251
44,sub-005,sub-248
45,sub-747,sub-1011
46,sub-984,sub-850
47,sub-894,sub-418
48,sub-544,sub-356
49,sub-417,sub-337
