,low,high
0,sub-524,sub-751
1,sub-886,sub-031
2,sub-613,sub-403
3,sub-713,sub-909
4,sub-493,sub-880
5,sub-766,sub-910
6,sub-460,sub-884
7,sub-279,sub-323
8,sub-1055,sub-1098
9,sub-216,sub-1084
10,sub-545,sub-895
11,sub-249,sub-405
12,sub-919,sub-1103
13,sub-228,sub-1076
14,sub-309,sub-872
15,sub-1095,sub-848
16,sub-054,sub-517
17,sub-587,sub-1102
18,sub-931,sub-864
19,sub-925,sub-402
20,sub-846,sub-380
21,sub-300,sub-389
22,sub-008,sub-934
23,sub-560,sub-511
24,sub-806,sub-871
25,sub-505,sub-653
26,sub-448,sub-272
27,sub-062,sub-246
28,sub-243,sub-879
29,sub-799,sub-677
30,sub-438,sub-862
31,sub-258,sub-1086
32,sub-1049,sub-314
33,sub-073,sub-890
34,sub-577,sub-687
35,sub-830,sub-379
36,sub-083,sub-245
37,sub-610,sub-891
38,sub-1081,sub-447
39,sub-820,sub-857
40,sub-648,sub-772
41,sub-807,sub-426
42,sub-457,sub-273
43,sub-1025,sub-196
44,sub-744,sub-921
45,sub-777,sub-410
46,sub-543,sub-898
47,sub-049,sub-297
48,sub-782,sub-058
49,sub-1030,sub-230
