,low,high
0,sub-768,sub-927
1,sub-704,sub-735
2,sub-618,sub-217
3,sub-711,sub-778
4,sub-242,sub-796
5,sub-296,sub-788
6,sub-317,sub-813
7,sub-045,sub-1020
8,sub-616,sub-418
9,sub-646,sub-248
10,sub-824,sub-647
11,sub-747,sub-286
12,sub-268,sub-064
13,sub-1073,sub-968
14,sub-1083,sub-452
15,sub-841,sub-107
16,sub-241,sub-957
17,sub-310,sub-1022
18,sub-1048,sub-811
19,sub-549,sub-070
20,sub-552,sub-050
21,sub-001,sub-445
22,sub-282,sub-850
23,sub-1077,sub-990
24,sub-313,sub-630
25,sub-662,sub-948
26,sub-715,sub-712
27,sub-894,sub-867
28,sub-028,sub-942
29,sub-694,sub-361
30,sub-681,sub-590
31,sub-654,sub-940
32,sub-544,sub-1021
33,sub-742,sub-265
34,sub-728,sub-027
35,sub-327,sub-378
36,sub-238,sub-666
37,sub-548,sub-221
38,sub-005,sub-947
39,sub-298,sub-1013
40,sub-274,sub-670
41,sub-077,sub-1035
42,sub-547,sub-302
43,sub-683,sub-770
44,sub-984,sub-949
45,sub-697,sub-756
46,sub-497,sub-396
47,sub-239,sub-291
48,sub-333,sub-331
49,sub-417,sub-826
