,low,high
0,sub-886,sub-909
1,sub-613,sub-884
2,sub-279,sub-031
3,sub-493,sub-751
4,sub-766,sub-403
5,sub-009,sub-910
6,sub-524,sub-880
7,sub-309,sub-895
8,sub-1055,sub-1090
9,sub-054,sub-323
10,sub-587,sub-1098
11,sub-249,sub-1084
12,sub-460,sub-405
13,sub-713,sub-402
14,sub-216,sub-380
15,sub-931,sub-772
16,sub-1095,sub-1103
17,sub-978,sub-848
18,sub-545,sub-272
19,sub-799,sub-1087
20,sub-577,sub-517
21,sub-1009,sub-389
22,sub-846,sub-1076
23,sub-017,sub-934
24,sub-008,sub-871
25,sub-509,sub-314
26,sub-610,sub-1102
27,sub-504,sub-879
28,sub-228,sub-872
29,sub-563,sub-677
30,sub-919,sub-862
31,sub-438,sub-1086
32,sub-300,sub-058
33,sub-560,sub-230
34,sub-648,sub-864
35,sub-448,sub-511
36,sub-062,sub-891
37,sub-003,sub-797
38,sub-1081,sub-917
39,sub-543,sub-776
40,sub-073,sub-312
41,sub-258,sub-379
42,sub-806,sub-687
43,sub-458,sub-741
44,sub-457,sub-410
45,sub-820,sub-907
46,sub-925,sub-425
47,sub-807,sub-246
48,sub-1025,sub-857
49,sub-1049,sub-404
