,low,high
0,sub-841,sub-011
1,sub-1083,sub-939
2,sub-616,sub-056
3,sub-549,sub-973
4,sub-268,sub-858
5,sub-681,sub-032
6,sub-045,sub-344
7,sub-1048,sub-040
8,sub-497,sub-636
9,sub-683,sub-1012
10,sub-274,sub-940
11,sub-984,sub-644
12,sub-548,sub-637
13,sub-005,sub-826
14,sub-282,sub-930
15,sub-317,sub-276
16,sub-296,sub-869
17,sub-694,sub-1011
18,sub-697,sub-650
19,sub-552,sub-976
20,sub-824,sub-356
21,sub-704,sub-251
22,sub-299,sub-478
23,sub-077,sub-320
24,sub-241,sub-445
25,sub-001,sub-642
26,sub-238,sub-990
27,sub-547,sub-707
28,sub-711,sub-038
29,sub-368,sub-1022
30,sub-571,sub-337
31,sub-327,sub-1032
32,sub-599,sub-1006
33,sub-1085,sub-1013
34,sub-525,sub-1005
35,sub-618,sub-107
36,sub-539,sub-887
37,sub-1073,sub-1026
38,sub-662,sub-277
39,sub-979,sub-815
40,sub-863,sub-977
41,sub-899,sub-821
42,sub-722,sub-663
43,sub-1066,sub-027
44,sub-489,sub-1033
45,sub-348,sub-261
46,sub-310,sub-582
47,sub-749,sub-597
48,sub-364,sub-361
49,sub-313,sub-623
