,low,high
0,sub-445,sub-1048
1,sub-1022,sub-282
2,sub-107,sub-296
3,sub-940,sub-001
4,sub-735,sub-824
5,sub-927,sub-497
6,sub-778,sub-548
7,sub-217,sub-547
8,sub-990,sub-317
9,sub-957,sub-681
10,sub-1013,sub-704
11,sub-788,sub-552
12,sub-826,sub-549
13,sub-1026,sub-077
14,sub-831,sub-618
15,sub-939,sub-1073
16,sub-821,sub-238
17,sub-796,sub-711
18,sub-813,sub-268
19,sub-361,sub-616
20,sub-666,sub-045
21,sub-056,sub-841
22,sub-1020,sub-662
23,sub-027,sub-1083
24,sub-248,sub-654
25,sub-321,sub-697
26,sub-011,sub-028
27,sub-850,sub-742
28,sub-647,sub-241
29,sub-976,sub-377
30,sub-286,sub-728
31,sub-756,sub-715
32,sub-418,sub-310
33,sub-867,sub-894
34,sub-064,sub-694
35,sub-1005,sub-327
36,sub-452,sub-747
37,sub-009,sub-313
38,sub-1011,sub-298
39,sub-811,sub-1077
40,sub-320,sub-242
41,sub-630,sub-274
42,sub-973,sub-005
43,sub-032,sub-984
44,sub-070,sub-683
45,sub-968,sub-544
46,sub-708,sub-239
47,sub-942,sub-805
48,sub-396,sub-368
49,sub-858,sub-646
