,low,high
0,sub-299,sub-509
1,sub-561,sub-577
2,sub-368,sub-977
3,sub-005,sub-978
4,sub-1085,sub-1009
5,sub-539,sub-1005
6,sub-571,sub-707
7,sub-984,sub-846
8,sub-036,sub-017
9,sub-683,sub-1006
10,sub-863,sub-815
11,sub-979,sub-1033
12,sub-274,sub-054
13,sub-408,sub-276
14,sub-287,sub-931
15,sub-525,sub-1032
16,sub-364,sub-309
17,sub-599,sub-504
18,sub-353,sub-799
19,sub-325,sub-277
20,sub-1099,sub-930
21,sub-297,sub-1095
22,sub-503,sub-869
23,sub-535,sub-768
24,sub-694,sub-650
25,sub-245,sub-925
26,sub-1083,sub-478
27,sub-697,sub-1012
28,sub-841,sub-040
29,sub-045,sub-216
30,sub-562,sub-228
31,sub-1082,sub-655
32,sub-554,sub-344
33,sub-706,sub-919
34,sub-616,sub-642
35,sub-327,sub-300
36,sub-241,sub-858
37,sub-549,sub-356
38,sub-1001,sub-976
39,sub-487,sub-646
40,sub-989,sub-320
41,sub-848,sub-766
42,sub-704,sub-1011
43,sub-268,sub-306
44,sub-262,sub-460
45,sub-711,sub-435
46,sub-934,sub-279
47,sub-621,sub-032
48,sub-410,sub-493
49,sub-548,sub-886
