,low,high
0,sub-768,sub-445
1,sub-242,sub-107
2,sub-327,sub-1022
3,sub-989,sub-990
4,sub-241,sub-070
5,sub-711,sub-064
6,sub-005,sub-957
7,sub-045,sub-050
8,sub-704,sub-811
9,sub-984,sub-968
10,sub-683,sub-217
11,sub-262,sub-302
12,sub-618,sub-630
13,sub-697,sub-265
14,sub-487,sub-796
15,sub-368,sub-452
16,sub-535,sub-1035
17,sub-317,sub-286
18,sub-694,sub-927
19,sub-260,sub-735
20,sub-036,sub-947
21,sub-706,sub-942
22,sub-299,sub-612
23,sub-833,sub-647
24,sub-621,sub-949
25,sub-268,sub-590
26,sub-1083,sub-826
27,sub-296,sub-778
28,sub-1001,sub-867
29,sub-616,sub-378
30,sub-552,sub-1026
31,sub-654,sub-418
32,sub-325,sub-1020
33,sub-1085,sub-1021
34,sub-444,sub-291
35,sub-077,sub-331
36,sub-297,sub-666
37,sub-549,sub-248
38,sub-245,sub-788
39,sub-346,sub-712
40,sub-824,sub-1107
41,sub-841,sub-285
42,sub-364,sub-361
43,sub-1082,sub-940
44,sub-287,sub-695
45,sub-1048,sub-1013
46,sub-561,sub-670
47,sub-742,sub-770
48,sub-681,sub-850
49,sub-827,sub-221
