,low,high
0,sub-228,sub-1102
1,sub-919,sub-1086
2,sub-300,sub-1076
3,sub-925,sub-1103
4,sub-493,sub-934
5,sub-766,sub-848
6,sub-886,sub-196
7,sub-543,sub-751
8,sub-062,sub-273
9,sub-216,sub-909
10,sub-460,sub-880
11,sub-613,sub-884
12,sub-713,sub-410
13,sub-435,sub-910
14,sub-524,sub-297
15,sub-763,sub-403
16,sub-820,sub-031
17,sub-249,sub-1089
18,sub-076,sub-1075
19,sub-073,sub-895
20,sub-806,sub-1098
21,sub-923,sub-517
22,sub-279,sub-511
23,sub-457,sub-492
24,sub-009,sub-323
25,sub-632,sub-314
26,sub-1055,sub-561
27,sub-830,sub-872
28,sub-243,sub-772
29,sub-545,sub-554
30,sub-1049,sub-1084
31,sub-505,sub-247
32,sub-157,sub-979
33,sub-807,sub-562
34,sub-054,sub-503
35,sub-1095,sub-245
36,sub-306,sub-863
37,sub-309,sub-677
38,sub-083,sub-287
39,sub-610,sub-408
40,sub-846,sub-1099
41,sub-655,sub-539
42,sub-008,sub-653
43,sub-587,sub-971
44,sub-931,sub-555
45,sub-799,sub-706
46,sub-577,sub-586
47,sub-978,sub-864
48,sub-1025,sub-1085
49,sub-509,sub-1082
