,low,high
0,sub-1055,sub-1103
1,sub-009,sub-1102
2,sub-524,sub-848
3,sub-249,sub-1076
4,sub-279,sub-031
5,sub-613,sub-751
6,sub-713,sub-403
7,sub-545,sub-1098
8,sub-460,sub-884
9,sub-766,sub-909
10,sub-886,sub-934
11,sub-493,sub-880
12,sub-216,sub-323
13,sub-846,sub-910
14,sub-008,sub-1086
15,sub-587,sub-895
16,sub-073,sub-1084
17,sub-610,sub-447
18,sub-228,sub-196
19,sub-300,sub-297
20,sub-799,sub-879
21,sub-919,sub-517
22,sub-1095,sub-273
23,sub-931,sub-511
24,sub-062,sub-1075
25,sub-1049,sub-410
26,sub-807,sub-405
27,sub-806,sub-272
28,sub-054,sub-872
29,sub-925,sub-677
30,sub-543,sub-1089
31,sub-083,sub-245
32,sub-560,sub-561
33,sub-309,sub-402
34,sub-820,sub-864
35,sub-1025,sub-979
36,sub-505,sub-891
37,sub-448,sub-706
38,sub-830,sub-314
39,sub-243,sub-389
40,sub-438,sub-890
41,sub-648,sub-687
42,sub-1030,sub-653
43,sub-457,sub-380
44,sub-157,sub-772
45,sub-1081,sub-287
46,sub-258,sub-797
47,sub-763,sub-871
48,sub-435,sub-862
49,sub-777,sub-898
