,low,high
0,sub-228,sub-1102
1,sub-919,sub-1086
2,sub-925,sub-1076
3,sub-493,sub-934
4,sub-886,sub-848
5,sub-613,sub-1103
6,sub-923,sub-1098
7,sub-435,sub-517
8,sub-524,sub-1084
9,sub-632,sub-511
10,sub-766,sub-196
11,sub-300,sub-312
12,sub-543,sub-273
13,sub-713,sub-410
14,sub-216,sub-447
15,sub-309,sub-854
16,sub-460,sub-058
17,sub-321,sub-323
18,sub-1095,sub-407
19,sub-249,sub-900
20,sub-279,sub-413
21,sub-821,sub-917
22,sub-545,sub-1010
23,sub-931,sub-426
24,sub-1055,sub-372
25,sub-054,sub-348
26,sub-763,sub-1090
27,sub-062,sub-230
28,sub-820,sub-432
29,sub-1026,sub-403
30,sub-306,sub-1066
31,sub-799,sub-884
32,sub-768,sub-574
33,sub-655,sub-751
34,sub-076,sub-1075
35,sub-009,sub-297
36,sub-831,sub-371
37,sub-457,sub-909
38,sub-806,sub-255
39,sub-017,sub-380
40,sub-610,sub-031
41,sub-243,sub-910
42,sub-073,sub-402
43,sub-1081,sub-1087
44,sub-646,sub-834
45,sub-648,sub-1089
46,sub-157,sub-771
47,sub-1009,sub-880
48,sub-978,sub-1099
49,sub-846,sub-492
