,low,high
0,sub-054,sub-934
1,sub-978,sub-1086
2,sub-1095,sub-1102
3,sub-216,sub-1076
4,sub-1009,sub-848
5,sub-713,sub-1103
6,sub-766,sub-503
7,sub-460,sub-562
8,sub-931,sub-410
9,sub-309,sub-979
10,sub-017,sub-1098
11,sub-886,sub-036
12,sub-279,sub-196
13,sub-524,sub-539
14,sub-249,sub-555
15,sub-509,sub-561
16,sub-613,sub-1082
17,sub-504,sub-571
18,sub-493,sub-273
19,sub-799,sub-971
20,sub-1055,sub-364
21,sub-009,sub-1084
22,sub-563,sub-1075
23,sub-577,sub-517
24,sub-768,sub-772
25,sub-977,sub-297
26,sub-1006,sub-314
27,sub-545,sub-586
28,sub-1005,sub-368
29,sub-707,sub-1089
30,sub-543,sub-706
31,sub-435,sub-245
32,sub-646,sub-325
33,sub-815,sub-353
34,sub-228,sub-299
35,sub-648,sub-287
36,sub-846,sub-685
37,sub-1033,sub-884
38,sub-820,sub-031
39,sub-610,sub-570
40,sub-806,sub-492
41,sub-062,sub-403
42,sub-277,sub-1087
43,sub-763,sub-554
44,sub-1081,sub-895
45,sub-300,sub-1085
46,sub-919,sub-880
47,sub-008,sub-909
48,sub-457,sub-910
49,sub-830,sub-247
