,low,high
0,sub-821,sub-064
1,sub-321,sub-070
2,sub-749,sub-050
3,sub-831,sub-968
4,sub-489,sub-811
5,sub-733,sub-647
6,sub-762,sub-735
7,sub-711,sub-217
8,sub-618,sub-796
9,sub-077,sub-927
10,sub-753,sub-630
11,sub-834,sub-778
12,sub-282,sub-1022
13,sub-721,sub-788
14,sub-1073,sub-107
15,sub-824,sub-813
16,sub-045,sub-445
17,sub-654,sub-037
18,sub-547,sub-1020
19,sub-780,sub-756
20,sub-742,sub-850
21,sub-1048,sub-418
22,sub-771,sub-666
23,sub-552,sub-248
24,sub-1077,sub-1013
25,sub-296,sub-990
26,sub-728,sub-957
27,sub-001,sub-361
28,sub-608,sub-867
29,sub-704,sub-873
30,sub-715,sub-670
31,sub-317,sub-940
32,sub-894,sub-825
33,sub-238,sub-826
34,sub-513,sub-339
35,sub-310,sub-286
36,sub-662,sub-452
37,sub-626,sub-695
38,sub-747,sub-786
39,sub-1067,sub-1026
40,sub-298,sub-285
41,sub-313,sub-644
42,sub-497,sub-939
43,sub-1063,sub-949
44,sub-958,sub-1021
45,sub-616,sub-396
46,sub-241,sub-1034
47,sub-681,sub-027
48,sub-1090,sub-948
49,sub-548,sub-731
