,low,high
0,sub-547,sub-1022
1,sub-1073,sub-445
2,sub-001,sub-940
3,sub-742,sub-927
4,sub-425,sub-107
5,sub-282,sub-735
6,sub-377,sub-217
7,sub-238,sub-826
8,sub-028,sub-990
9,sub-824,sub-939
10,sub-654,sub-666
11,sub-1016,sub-796
12,sub-552,sub-957
13,sub-618,sub-778
14,sub-728,sub-1013
15,sub-831,sub-788
16,sub-736,sub-813
17,sub-1048,sub-064
18,sub-715,sub-973
19,sub-662,sub-056
20,sub-747,sub-582
21,sub-077,sub-011
22,sub-792,sub-647
23,sub-296,sub-1020
24,sub-894,sub-811
25,sub-317,sub-858
26,sub-704,sub-032
27,sub-484,sub-361
28,sub-805,sub-663
29,sub-394,sub-850
30,sub-241,sub-756
31,sub-708,sub-344
32,sub-327,sub-070
33,sub-711,sub-251
34,sub-544,sub-1011
35,sub-548,sub-636
36,sub-497,sub-968
37,sub-310,sub-644
38,sub-689,sub-712
39,sub-333,sub-248
40,sub-239,sub-050
41,sub-827,sub-867
42,sub-298,sub-1012
43,sub-398,sub-597
44,sub-313,sub-418
45,sub-1062,sub-976
46,sub-694,sub-286
47,sub-382,sub-869
48,sub-339,sub-637
49,sub-697,sub-942
